Timestamp,Throughput_ops_per_sec
1742372604428,1
1742372610639,1
1742372613976,1
1742372633482,1
1742372640129,1
1742372649749,1
1742372665680,1
1742372669902,1
1742372687053,1
1742372689953,1
1742372696816,1
1742372699893,1
1742372702979,1
1742373311996,1
1742373323328,1
1742373325082,1
1742373327417,1
1742373330654,1
1742373332282,1
1742373360073,1
1742373376156,1
1742373378690,1
1742373399959,1
1742373412155,1
1742373428592,1
1742373780007,1
1742373793544,1
1742373811017,1
1742373818293,1
1742373836705,1
1742373923573,1
1742373925330,1
1742373928148,1
1742373941615,1
1742373955011,1
1742375502545,1
1742375522797,1
1742376982739,1
1742376996478,1
1742377080879,1
1742377522833,1
1742377558107,1
