Timestamp,Latency_ms
1742372604428,0
1742372610638,175
1742372613975,0
1742372633482,16
1742372640129,20
1742372649749,0
1742372665680,0
1742372669902,16
1742372687053,0
1742372689953,40
1742372696816,19
1742372699893,0
1742372702979,16
1742373311995,0
1742373323328,37
1742373325082,0
1742373327417,91
1742373330653,0
1742373332282,0
1742373360073,0
1742373376156,120
1742373378690,0
1742373399958,0
1742373412155,0
1742373428592,0
1742373780006,0
1742373793544,0
1742373811017,15074
1742373818293,0
1742373836705,15054
1742373923573,63
1742373925330,0
1742373928148,42
1742373941615,126
1742373955010,19
1742375502545,0
1742375522796,0
1742376982737,0
1742376996478,0
1742377080879,0
1742377522832,0
1742377558106,0
